No.,Time,Comment,Scramble,Date,P.1
1,15.17,,L' B2 F2 R2 D2 U R2 D2 U B2 F2 U' R2 L B R' F2 U L B,2022-07-07 12:32:49,15.17
2,19.47,,F D' F' R2 B' D2 U2 B R2 F U2 F L2 R' D' L' B' L2 B2 D' U,2022-07-07 12:33:29,19.47
3,15.28,,L D R2 L F' R2 U F R U2 R2 U2 B2 R U2 L' U2 R2 B2 U2 B',2022-07-07 12:34:09,15.28
4,17.60,,R2 B L2 D2 B2 D2 B2 L2 B D2 F' D' B U' B2 L B' U R' U' F',2022-07-07 12:34:51,17.60
5,16.96,,F B' U' B R F B' L' U F' U2 F R2 B L2 B U2 F L2 F U2,2022-07-07 12:36:15,16.96
6,18.57,,U2 F2 U B2 F2 D' U' B2 U' B2 F2 R' U2 L2 D' F2 R B F' R,2022-07-07 12:37:49,18.57
7,14.82,,B2 L D2 F U2 F L2 F R2 F' L2 U2 D' B U L F2 D' R' F',2022-07-07 17:57:01,14.82
8,16.99,,U' L2 B' F2 L2 B2 U' R2 F2 U F2 U' F2 R U2 L2 B D R F2,2022-07-07 17:57:51,16.99
9,21.17,,B2 U' F2 R' D2 R2 F2 U2 R' U2 F2 D F D2 B2 F D' L',2022-07-07 17:58:36,21.17
10,16.93,,F' R2 B2 R2 F L2 R2 B' L2 F' U' L' R' D' F U2 R2 F2 L' B,2022-07-07 17:59:19,16.93
11,19.02,,R' U R' F' B2 L U' D B R2 L2 D L2 U' L2 F2 D2 B2 U' L2 F2,2022-07-07 17:59:56,19.02
12,15.21,,R' B2 U2 F2 R2 U2 L2 B L2 F D2 B' L B2 R' D' L2 U F2 L' B2,2022-07-07 18:00:35,15.21
13,18.47,,D' B2 L2 D B2 R2 D' R2 U R2 L' D B2 F D' F D2 U' B' R,2022-07-07 18:01:22,18.47
14,15.37,,B L B2 D2 L2 F' R2 U2 R2 B2 U2 B' L2 F' D' R B L2 B2 F D',2022-07-07 18:02:03,15.37
15,14.62,,U2 R' F' U2 L2 U' F2 U2 L2 F2 U2 R2 F D2 R' U' B2 D' U',2022-07-07 18:02:55,14.62
16,14.43,,L U2 F2 D2 L2 U2 R F2 R2 U2 D B R B2 D B2 U2 B2 R,2022-07-07 18:03:36,14.43
17,21.58,,B' U2 L U' R F2 B2 D U2 B2 R2 U2 D2 B' U2 B' L2 U2 F' D',2022-07-07 18:04:12,21.58
18,16.34,,B' U B2 D2 F' R2 B R2 F2 D2 R2 B' L2 F2 R U L2 U' B' U,2022-07-07 18:04:54,16.34
